order_id,ord_id,customer_id,cust_id,order_date,order_datetime,product_id,item_id,quantity,qty,unit_price,price,total_amount,order_total,shipping_cost,tax,discount,status,order_status,payment_method,shipping_address,notes,tracking_number
ORD_00023,23,367,CUST_0367,2/23/2023,2023-11-12T08:49:00.000Z,PROD_036,46,8,5,403.47,323.91,513.45,325.28,12.19,14.22,0.00,returned,delivered,bank_transfer,7030 Pine Rd,,
ORD_00024,24,111,CUST_0111,2/23/2023,2023-04-26T16:08:00.000Z,PROD_125,53,2,3,374.32,79.45,900.60,58.03,0.00,21.52,14.22,SHIPPED,pending,credit_card,2875 Pine Rd,,TRK848807
ORD_00025,25,295,CUST_0295,9/6/2023,2023-09-22T13:22:00.000Z,PROD_035,82,8,1,215.58,67.40,635.40,717.20,14.49,6.03,0.00,,returned,paypal,4356 Main St,,TRK845870
ORD_00026,26,214,CUST_0214,,2023-03-06T06:56:00.000Z,PROD_022,132,4,3,248.36,380.29,767.81,411.19,0.00,20.63,0.00,pending,,credit_card,2769 Main St,,
ORD_00027,27,113,CUST_0113,8/25/2023,2023-08-22T13:17:00.000Z,PROD_131,195,10,1,72.47,297.39,1046.66,164.40,0.00,39.30,0.00,delivered,processing,paypal,7827 Main St,Special delivery instructions,TRK127758
ORD_00028,28,119,CUST_0119,6/11/2023,2023-04-25T13:49:00.000Z,PROD_176,166,1,3,95.22,255.74,196.01,278.16,22.76,39.87,17.70,CANCELLED,processing,bank_transfer,3933 Pine Rd,,TRK699823
ORD_00029,29,328,CUST_0328,2023-04-13,2023-07-25T16:54:00.000Z,PROD_104,128,4,2,397.24,123.61,682.29,796.05,0.00,19.13,0.00,CANCELLED,pending,bank_transfer,2450 Main St,,TRK844201
ORD_00030,30,237,CUST_0237,2023-02-02,2023-07-28T07:13:00.000Z,PROD_177,78,6,4,486.42,386.13,240.35,699.13,0.00,20.31,0.00,delivered,pending,cash,9011 Pine Rd,,
ORD_00031,31,381,CUST_0381,2023-02-28,2023-10-02T13:00:00.000Z,PROD_191,177,5,5,438.55,178.11,695.77,546.15,23.95,14.36,0.00,processing,processing,paypal,7119 Pine Rd,,TRK766558
ORD_00032,32,311,CUST_0311,11/27/2023,2023-03-17T00:57:00.000Z,PROD_059,132,2,3,80.50,233.43,101.73,117.69,5.16,14.43,0.00,returned,processing,credit_card,5127 Oak Ave,,TRK261883
ORD_00033,33,137,CUST_0137,6/3/2023,2023-03-11T10:38:00.000Z,PROD_160,159,2,4,101.42,341.32,971.69,262.48,21.43,27.60,0.00,SHIPPED,pending,credit_card,9722 Oak Ave,,
ORD_00034,34,481,CUST_0481,9/12/2023,2023-03-12T06:24:00.000Z,PROD_090,152,5,3,251.14,377.60,736.42,383.08,11.58,25.23,0.00,returned,delivered,paypal,8000 Pine Rd,,
ORD_00035,35,4,CUST_0004,,2023-12-26T09:04:00.000Z,PROD_143,115,3,1,250.91,411.31,286.08,217.99,21.02,19.87,29.63,CANCELLED,pending,credit_card,2329 Oak Ave,,TRK581331
ORD_00036,36,415,CUST_0415,2023-11-14,2023-02-19T02:58:00.000Z,PROD_105,144,8,2,332.06,213.36,333.25,616.45,6.07,14.63,0.00,returned,processing,cash,9324 Pine Rd,,TRK791855
ORD_00037,37,327,CUST_0327,2023-11-01,,PROD_142,126,9,4,350.72,380.54,217.51,474.96,0.00,43.35,0.00,returned,CANCELLED,bank_transfer,2448 Pine Rd,,TRK878060
ORD_00038,38,484,CUST_0484,2023-02-14,2023-06-16T04:40:00.000Z,PROD_184,185,2,5,140.72,291.38,812.41,775.37,14.42,50.11,0.00,,SHIPPED,bank_transfer,1896 Main St,Special delivery instructions,
ORD_00039,39,339,CUST_0339,12/18/2023,,PROD_181,16,6,2,72.27,301.40,846.92,686.07,15.96,18.70,0.00,SHIPPED,SHIPPED,debit_card,3116 Pine Rd,,TRK869344
ORD_00040,40,91,CUST_0091,2023-11-18,2023-07-03T17:26:00.000Z,PROD_197,89,1,3,392.33,179.85,177.26,406.08,0.00,10.40,37.71,delivered,processing,paypal,3858 Main St,,TRK197914
ORD_00041,41,238,CUST_0238,7/5/2023,2023-10-21T08:27:00.000Z,PROD_184,73,2,2,370.30,353.97,573.40,161.54,0.00,27.82,0.00,delivered,CANCELLED,credit_card,1707 Pine Rd,,TRK701755
ORD_00042,42,64,CUST_0064,2023-01-05,2023-06-02T20:52:00.000Z,PROD_167,45,2,1,49.01,227.03,753.89,804.52,9.99,10.47,0.00,returned,pending,cash,562 Main St,,
ORD_00043,43,439,CUST_0439,2023-04-09,,PROD_120,182,9,3,405.38,149.16,1044.47,680.01,0.00,19.73,0.00,,processing,paypal,4420 Main St,Special delivery instructions,TRK293080
ORD_00044,44,266,CUST_0266,2023-06-05,2023-02-02T07:47:00.000Z,PROD_080,191,7,1,116.87,175.85,662.88,336.27,0.00,5.32,18.00,delivered,delivered,credit_card,8860 Main St,,TRK581218
ORD_00045,45,9,CUST_0009,2/20/2023,,PROD_029,124,8,4,17.83,306.91,204.35,496.11,0.00,22.63,0.00,SHIPPED,CANCELLED,debit_card,6910 Oak Ave,Special delivery instructions,
ORD_00046,46,3,CUST_0003,8/28/2023,2023-10-15T07:22:00.000Z,PROD_031,19,10,5,234.89,225.83,968.27,300.52,5.87,4.62,25.65,pending,processing,paypal,651 Oak Ave,,TRK263317
ORD_00047,47,74,CUST_0074,2023-04-16,,PROD_187,137,2,1,122.46,254.52,786.02,188.52,0.00,7.96,0.00,CANCELLED,CANCELLED,credit_card,5280 Pine Rd,,TRK727322
ORD_00048,48,361,CUST_0361,4/23/2023,2023-05-06T17:43:00.000Z,PROD_150,101,5,1,406.70,225.59,449.07,548.33,16.85,42.33,39.36,,SHIPPED,cash,3556 Oak Ave,,
ORD_00049,49,52,CUST_0052,4/21/2023,2023-03-26T20:30:00.000Z,PROD_179,6,1,2,129.75,206.34,587.00,671.40,0.00,51.64,0.00,,SHIPPED,paypal,1867 Pine Rd,,
ORD_00050,50,471,CUST_0471,2023-01-22,2023-08-19T01:33:00.000Z,PROD_040,2,3,1,360.99,200.39,473.57,78.31,21.39,7.38,25.77,CANCELLED,,paypal,7204 Oak Ave,,
ORD_00051,51,18,CUST_0018,2023-08-02,2023-11-17T06:03:00.000Z,PROD_150,192,9,5,91.87,72.61,661.13,685.69,13.43,7.43,12.91,CANCELLED,delivered,credit_card,3704 Oak Ave,,
ORD_00052,52,223,CUST_0223,,2023-10-17T03:21:00.000Z,PROD_023,81,8,3,16.09,191.00,412.50,469.12,13.04,14.64,0.00,delivered,pending,debit_card,3431 Main St,,
ORD_00053,53,81,CUST_0081,7/26/2023,2023-09-04T22:52:00.000Z,PROD_075,162,9,3,208.13,330.60,1044.83,364.16,15.47,47.51,0.00,,delivered,credit_card,1062 Main St,,TRK142843
ORD_00054,54,428,CUST_0428,,2023-10-08T06:59:00.000Z,PROD_008,181,7,3,411.25,187.51,437.01,578.42,15.77,43.72,0.00,delivered,CANCELLED,bank_transfer,1731 Main St,,TRK839502
ORD_00055,55,148,CUST_0148,2023-10-14,2023-09-03T01:26:00.000Z,PROD_046,160,8,5,165.87,356.44,330.84,666.52,0.00,14.19,34.04,returned,CANCELLED,cash,252 Oak Ave,,TRK596275
ORD_00056,56,6,CUST_0006,5/19/2023,2023-07-13T07:17:00.000Z,PROD_017,32,2,3,479.76,272.91,902.35,80.51,0.00,12.85,0.00,SHIPPED,CANCELLED,cash,9253 Main St,Special delivery instructions,
ORD_00057,57,14,CUST_0014,8/5/2023,,PROD_077,85,10,3,75.13,17.48,799.04,769.45,18.40,43.45,0.00,returned,CANCELLED,paypal,688 Main St,Special delivery instructions,
ORD_00058,58,238,CUST_0238,,2023-04-18T22:02:00.000Z,PROD_080,113,6,5,409.06,367.86,535.82,760.73,22.22,47.03,0.00,,CANCELLED,credit_card,5915 Oak Ave,,
ORD_00059,59,299,CUST_0299,2023-04-26,2023-03-28T14:27:00.000Z,PROD_140,65,5,2,378.46,308.51,885.19,395.29,21.50,23.49,0.00,returned,processing,bank_transfer,7613 Pine Rd,,
ORD_00060,60,477,CUST_0477,,,PROD_114,107,6,4,314.59,24.79,348.37,277.23,24.60,13.04,0.00,delivered,processing,bank_transfer,6158 Main St,Special delivery instructions,TRK932982
ORD_00061,61,338,CUST_0338,2023-10-25,2023-11-24T11:51:00.000Z,PROD_023,2,8,2,487.01,52.41,1029.52,789.52,0.00,42.71,19.43,pending,SHIPPED,credit_card,436 Pine Rd,,TRK402811
ORD_00062,62,103,CUST_0103,11/21/2023,2023-05-26T23:29:00.000Z,PROD_147,6,6,1,408.67,294.95,599.31,216.72,9.69,27.06,0.00,returned,delivered,credit_card,3504 Oak Ave,,TRK618315
ORD_00063,63,308,CUST_0308,,2023-04-26T00:59:00.000Z,PROD_116,1,9,3,402.74,124.59,196.53,756.35,23.52,22.05,0.00,,delivered,paypal,4063 Main St,,TRK919689
ORD_00064,64,63,CUST_0063,1/2/2023,2023-06-04T12:18:00.000Z,PROD_143,32,2,4,381.78,43.13,365.44,732.21,5.86,46.59,0.00,,returned,bank_transfer,4961 Oak Ave,Special delivery instructions,TRK240037
ORD_00065,65,246,CUST_0246,11/15/2023,,PROD_123,166,2,5,103.41,22.11,78.10,629.51,15.41,23.13,30.45,SHIPPED,SHIPPED,cash,784 Pine Rd,,
ORD_00066,66,263,CUST_0263,2/5/2023,2023-02-13T13:01:00.000Z,PROD_035,191,6,1,194.47,404.00,929.24,232.74,18.09,33.63,0.00,delivered,delivered,paypal,7384 Main St,,TRK578204
ORD_00067,67,359,CUST_0359,3/8/2023,2023-08-19T01:28:00.000Z,PROD_188,144,9,5,73.22,317.99,563.67,603.09,22.31,41.58,6.51,CANCELLED,returned,credit_card,1234 Pine Rd,,TRK137442
ORD_00068,68,19,CUST_0019,8/8/2023,,PROD_099,76,7,1,475.15,193.76,1031.62,473.01,7.28,25.74,0.00,SHIPPED,returned,debit_card,4078 Main St,Special delivery instructions,TRK527452
ORD_00069,69,139,CUST_0139,2023-03-07,2023-04-11T23:52:00.000Z,PROD_013,2,7,1,277.98,135.62,378.22,181.03,0.00,50.40,0.00,pending,,debit_card,6057 Oak Ave,,TRK872086
ORD_00070,70,45,CUST_0045,2023-09-12,2023-05-23T18:14:00.000Z,PROD_103,88,7,1,246.15,257.92,907.40,329.78,0.00,9.65,0.00,CANCELLED,pending,paypal,1457 Oak Ave,,TRK947157
ORD_00071,71,23,CUST_0023,10/24/2023,,PROD_029,107,8,3,148.93,60.32,836.33,145.95,5.11,25.56,0.00,,processing,bank_transfer,5860 Oak Ave,Special delivery instructions,TRK810057
ORD_00072,72,217,CUST_0217,,2023-05-28T15:31:00.000Z,PROD_162,66,7,1,86.84,289.26,254.77,275.76,6.38,18.00,14.29,processing,pending,paypal,6699 Oak Ave,,TRK853853
ORD_00073,73,135,CUST_0135,3/27/2023,2023-12-21T18:00:00.000Z,PROD_086,118,6,3,228.24,142.12,56.76,376.51,20.29,25.69,0.00,SHIPPED,processing,credit_card,9883 Pine Rd,Special delivery instructions,TRK959531
ORD_00074,74,206,CUST_0206,2023-08-26,2023-07-01T16:32:00.000Z,PROD_040,56,7,3,137.33,32.87,476.43,310.47,15.97,21.31,0.00,,processing,bank_transfer,416 Oak Ave,,TRK779212
ORD_00075,75,240,CUST_0240,2023-12-25,2023-03-28T10:19:00.000Z,PROD_189,87,3,4,29.07,293.76,636.26,87.06,8.71,7.37,0.00,SHIPPED,CANCELLED,cash,4720 Main St,,TRK339872
ORD_00076,76,222,CUST_0222,9/4/2023,2023-04-20T20:49:00.000Z,PROD_159,101,5,2,411.45,149.35,900.87,576.26,24.93,28.40,27.02,pending,delivered,cash,1220 Pine Rd,,TRK767951
ORD_00077,77,197,CUST_0197,2023-08-01,2023-06-20T23:42:00.000Z,PROD_158,17,6,2,471.26,108.87,456.84,672.89,13.41,38.17,0.00,returned,returned,cash,285 Main St,,TRK343944
ORD_00078,78,316,CUST_0316,11/16/2023,,PROD_051,29,5,1,173.06,232.16,749.78,456.10,24.28,38.02,32.64,pending,SHIPPED,paypal,4091 Main St,,TRK389436
ORD_00079,79,12,CUST_0012,2023-07-08,2023-11-06T22:55:00.000Z,PROD_078,13,6,3,478.12,197.94,100.32,84.95,0.00,39.77,0.00,processing,processing,credit_card,7472 Pine Rd,,TRK703406
ORD_00080,80,69,CUST_0069,6/20/2023,,PROD_186,60,10,1,499.39,250.33,739.82,257.67,0.00,9.49,0.00,,returned,paypal,2999 Oak Ave,,
ORD_00081,81,321,CUST_0321,2023-09-04,2023-11-11T05:17:00.000Z,PROD_186,108,7,5,372.03,216.69,123.97,169.47,9.07,45.71,0.00,SHIPPED,pending,credit_card,6291 Pine Rd,,TRK552722
ORD_00082,82,75,CUST_0075,4/6/2023,2023-02-19T14:01:00.000Z,PROD_159,136,7,1,43.07,27.04,655.52,568.89,0.00,42.95,0.00,CANCELLED,delivered,credit_card,8917 Pine Rd,Special delivery instructions,TRK347260
ORD_00083,83,6,CUST_0006,2023-10-08,2023-06-07T08:28:00.000Z,PROD_058,25,9,3,493.31,366.58,996.29,737.98,22.34,31.51,38.09,delivered,delivered,debit_card,6782 Main St,,TRK852576
ORD_00084,84,148,CUST_0148,3/15/2023,,PROD_192,133,2,4,361.89,77.06,902.01,750.03,0.00,13.99,4.48,processing,,paypal,9327 Oak Ave,,
ORD_00085,85,371,CUST_0371,2023-03-12,2023-02-06T03:27:00.000Z,PROD_043,34,6,5,330.54,164.81,95.58,57.91,10.67,14.88,0.00,delivered,returned,cash,9274 Oak Ave,,TRK536869
ORD_00086,86,63,CUST_0063,2/19/2023,2023-04-17T09:24:00.000Z,PROD_059,40,1,1,506.40,270.73,497.90,778.84,15.81,51.06,12.94,CANCELLED,,debit_card,4682 Pine Rd,,TRK630436
ORD_00087,87,237,CUST_0237,2023-02-26,2023-07-24T11:55:00.000Z,PROD_082,125,4,3,159.07,372.93,986.06,728.28,0.00,51.67,0.00,pending,delivered,bank_transfer,5844 Main St,,TRK236545
ORD_00088,88,70,CUST_0070,6/19/2023,2023-02-26T18:08:00.000Z,PROD_056,65,8,4,58.48,159.04,818.63,468.51,0.00,38.40,0.00,processing,processing,credit_card,4882 Pine Rd,,TRK922113
ORD_00089,89,346,CUST_0346,2023-05-11,2023-10-31T18:45:00.000Z,PROD_086,26,6,2,379.24,327.70,926.54,431.95,17.02,44.76,15.95,returned,SHIPPED,cash,846 Oak Ave,Special delivery instructions,
ORD_00090,90,30,CUST_0030,7/7/2023,2023-01-07T09:52:00.000Z,PROD_196,198,5,3,284.90,17.90,255.55,199.25,0.00,16.77,0.00,CANCELLED,,bank_transfer,8122 Main St,Special delivery instructions,
ORD_00091,91,27,CUST_0027,10/20/2023,2023-05-06T09:40:00.000Z,PROD_076,19,1,5,114.73,147.16,518.17,385.37,14.89,38.92,0.00,SHIPPED,CANCELLED,credit_card,820 Pine Rd,,TRK309895
ORD_00092,92,443,CUST_0443,2023-11-17,2023-01-06T15:47:00.000Z,PROD_049,32,7,3,70.65,99.95,528.76,239.95,0.00,39.01,0.00,,processing,debit_card,8989 Pine Rd,,
ORD_00093,93,301,CUST_0301,,2023-08-12T09:50:00.000Z,PROD_008,18,10,1,272.66,17.65,144.78,287.15,16.54,32.24,0.00,processing,processing,paypal,1161 Oak Ave,Special delivery instructions,TRK194966
ORD_00094,94,102,CUST_0102,3/2/2023,,PROD_063,81,9,5,371.80,185.59,102.59,369.96,16.76,16.25,0.00,returned,pending,bank_transfer,2197 Main St,,
ORD_00095,95,26,CUST_0026,8/8/2023,2023-09-13T04:59:00.000Z,PROD_035,2,5,5,55.03,50.57,778.92,392.25,0.00,31.32,0.00,returned,processing,paypal,4667 Main St,,
ORD_00096,96,16,CUST_0016,1/23/2023,2023-09-15T18:54:00.000Z,PROD_179,76,10,1,259.34,303.84,765.50,805.26,22.63,11.49,5.12,returned,returned,credit_card,7270 Oak Ave,,TRK290022
ORD_00097,97,315,CUST_0315,2023-12-23,2023-08-20T03:18:00.000Z,PROD_108,158,2,4,246.53,302.18,691.63,699.72,11.68,48.77,0.00,CANCELLED,pending,bank_transfer,9153 Oak Ave,,TRK372453
ORD_00098,98,106,CUST_0106,9/20/2023,,PROD_108,60,2,4,273.85,64.11,476.75,684.94,7.06,46.85,0.00,,CANCELLED,cash,2454 Oak Ave,Special delivery instructions,
ORD_00099,99,326,CUST_0326,2023-11-13,2023-07-04T05:01:00.000Z,PROD_053,177,2,1,33.59,61.97,170.86,328.79,15.12,37.91,18.41,pending,processing,debit_card,3940 Pine Rd,,
ORD_00100,100,432,CUST_0432,11/9/2023,,PROD_166,6,1,3,352.96,113.67,673.50,731.79,8.34,5.14,2.82,returned,SHIPPED,paypal,556 Pine Rd,Special delivery instructions,TRK608183
ORD_00101,101,297,CUST_0297,2023-02-20,,PROD_122,78,6,5,367.00,93.61,648.53,431.26,0.00,14.18,19.61,SHIPPED,pending,bank_transfer,3567 Pine Rd,,TRK142670
ORD_00102,102,161,CUST_0161,2023-02-17,,PROD_161,25,6,1,506.90,23.14,486.90,81.12,20.36,18.34,0.00,SHIPPED,processing,credit_card,212 Main St,,TRK211783
ORD_00103,103,333,CUST_0333,6/8/2023,2023-05-09T04:42:00.000Z,PROD_107,111,1,5,149.31,378.95,131.55,89.50,23.33,28.44,3.84,CANCELLED,CANCELLED,bank_transfer,5265 Oak Ave,,
ORD_00104,104,385,CUST_0385,2023-12-04,2023-11-22T16:10:00.000Z,PROD_030,40,8,4,442.38,78.90,226.70,376.17,10.39,30.44,16.53,CANCELLED,returned,bank_transfer,4495 Pine Rd,,TRK312836
ORD_00105,105,480,CUST_0480,2023-07-19,,PROD_108,69,2,2,379.63,370.49,147.26,539.69,17.52,7.21,42.84,,processing,cash,1956 Main St,,TRK587187
ORD_00106,106,9,CUST_0009,2023-04-12,,PROD_089,72,1,3,386.65,389.49,984.15,555.43,7.82,43.53,0.00,pending,delivered,paypal,1915 Oak Ave,,TRK978181
ORD_00107,107,409,CUST_0409,2023-09-25,2023-07-05T13:54:00.000Z,PROD_089,72,3,1,60.08,99.88,411.94,757.30,23.17,32.18,0.00,CANCELLED,CANCELLED,paypal,1319 Oak Ave,,TRK553060
ORD_00108,108,340,CUST_0340,2023-05-22,2023-06-04T22:09:00.000Z,PROD_157,128,5,1,315.11,233.61,862.65,225.29,18.60,17.77,20.53,processing,CANCELLED,cash,7920 Main St,Special delivery instructions,
ORD_00109,109,17,CUST_0017,2023-08-10,2023-05-22T20:51:00.000Z,PROD_145,106,8,4,467.92,253.17,1012.86,295.25,0.00,21.80,44.77,CANCELLED,SHIPPED,debit_card,7571 Oak Ave,,TRK197158
ORD_00110,110,264,CUST_0264,4/1/2023,2023-03-24T10:48:00.000Z,PROD_036,71,8,5,112.55,319.46,182.14,789.19,0.00,20.86,0.00,SHIPPED,CANCELLED,debit_card,87 Oak Ave,,
ORD_00111,111,10,CUST_0010,11/27/2023,2023-09-02T18:09:00.000Z,PROD_042,136,1,5,131.76,246.67,682.99,285.81,23.64,28.75,0.00,returned,CANCELLED,credit_card,5489 Pine Rd,,
ORD_00112,112,101,CUST_0101,2023-07-23,2023-02-27T09:01:00.000Z,PROD_118,143,7,4,140.84,335.04,484.73,412.75,12.88,2.74,0.00,SHIPPED,,credit_card,4186 Main St,,
ORD_00113,113,402,CUST_0402,2023-08-23,2023-04-23T01:03:00.000Z,PROD_118,41,8,1,506.93,122.17,606.92,690.63,13.96,16.53,24.46,pending,SHIPPED,debit_card,664 Oak Ave,,
ORD_00114,114,217,CUST_0217,10/11/2023,,PROD_061,22,2,1,87.60,117.21,500.02,634.08,0.00,19.41,35.73,processing,pending,credit_card,9008 Oak Ave,Special delivery instructions,TRK140540
ORD_00115,115,130,CUST_0130,,,PROD_160,72,2,5,38.02,89.08,413.57,352.09,0.00,26.77,0.00,pending,processing,paypal,7185 Main St,,
ORD_00116,116,116,CUST_0116,4/18/2023,2023-04-24T02:25:00.000Z,PROD_177,42,3,3,205.90,268.26,976.35,751.06,20.26,36.44,0.00,processing,delivered,cash,5041 Oak Ave,,TRK835853
ORD_00117,117,276,CUST_0276,2/24/2023,2023-10-26T09:04:00.000Z,PROD_035,69,5,1,63.14,363.22,657.98,116.51,0.00,4.02,0.00,,delivered,cash,8989 Oak Ave,Special delivery instructions,TRK792292
ORD_00118,118,282,CUST_0282,8/5/2023,2023-11-18T15:12:00.000Z,PROD_047,2,10,2,194.26,127.33,316.19,265.46,15.83,30.42,5.88,SHIPPED,,credit_card,8595 Oak Ave,,TRK972493
ORD_00119,119,255,CUST_0255,2023-08-06,2023-08-26T20:13:00.000Z,PROD_018,73,2,2,472.25,412.12,383.94,112.37,10.80,4.77,46.05,,SHIPPED,debit_card,1687 Main St,,TRK586540
ORD_00120,120,177,CUST_0177,1/3/2023,2023-05-24T04:36:00.000Z,PROD_080,93,8,2,101.30,31.67,94.54,751.47,23.93,36.77,0.00,SHIPPED,,debit_card,4900 Main St,,
ORD_00121,121,385,CUST_0385,4/27/2023,2023-09-04T00:27:00.000Z,PROD_052,24,10,5,75.44,135.66,200.94,750.26,19.15,18.16,45.05,returned,returned,credit_card,9918 Oak Ave,,TRK746272
ORD_00122,122,274,CUST_0274,2023-08-09,2023-12-25T03:45:00.000Z,PROD_055,172,10,5,387.17,108.14,696.72,161.94,16.50,10.46,0.00,pending,returned,cash,567 Pine Rd,,
ORD_00123,123,239,CUST_0239,,2023-10-28T14:18:00.000Z,PROD_039,19,2,1,169.48,100.68,697.67,269.16,10.49,4.61,0.00,delivered,CANCELLED,bank_transfer,2553 Main St,,TRK173846
ORD_00124,124,92,CUST_0092,2023-10-25,2023-07-28T03:36:00.000Z,PROD_111,116,3,1,473.18,74.76,415.23,308.56,12.45,31.52,0.00,delivered,SHIPPED,bank_transfer,5611 Pine Rd,,
ORD_00125,125,306,CUST_0306,5/22/2023,2023-12-28T13:17:00.000Z,PROD_061,43,6,1,113.00,102.18,950.75,325.37,18.51,43.42,0.00,returned,delivered,cash,6242 Pine Rd,,
ORD_00126,126,371,CUST_0371,2023-09-07,2023-02-13T15:05:00.000Z,PROD_046,89,1,3,51.70,252.31,746.11,604.23,15.09,31.72,0.00,SHIPPED,CANCELLED,paypal,605 Main St,Special delivery instructions,
ORD_00127,127,411,CUST_0411,5/17/2023,2023-07-09T12:15:00.000Z,PROD_155,140,6,3,244.04,349.34,220.43,623.80,0.00,26.89,47.23,CANCELLED,SHIPPED,debit_card,1342 Pine Rd,,
ORD_00128,128,218,CUST_0218,2/11/2023,2023-07-23T04:58:00.000Z,PROD_029,110,2,2,236.93,337.06,622.28,627.51,14.81,5.60,0.00,SHIPPED,delivered,cash,5881 Pine Rd,,TRK914933
ORD_00129,129,72,CUST_0072,2023-05-21,2023-08-10T04:45:00.000Z,PROD_153,181,10,5,315.74,147.06,579.24,307.19,13.24,22.32,37.72,returned,processing,bank_transfer,7074 Main St,,TRK666154
